Year,Coal,CrudeOil,NaturalGasDry,NGPL
1960,10.8,14.9,12.7,1.5
1961,10.4,15.2,13.1,1.5
1962,10.9,15.5,13.7,1.6
1963,11.8,16,14.5,1.7
1964,12.5,16.2,15.3,1.8
1965,13.1,16.5,15.8,1.9
1966,13.5,17.6,17,2
1967,13.8,18.7,17.9,2.2
1968,13.6,19.3,19.1,2.3
1969,13.9,19.6,20.4,2.4
1970,14.6,20.4,21.7,2.5
1971,13.2,20,22.3,2.5
1972,14.1,20,22.2,2.6
1973,28,39,44.4,5.1
1974,28.1,37.1,42.4,4.9
1975,30,35.5,39.3,4.7
1976,31.3,34.5,39,4.7
1977,31.5,34.9,39.1,4.7
1978,29.8,36.9,39,4.5
1979,35.1,36.2,40.2,4.6
1980,37.2,36.5,39.8,4.5
1981,36.8,36.3,39.4,4.6
1982,37.3,36.6,36.6,4.4
1983,34.5,36.8,33.2,4.4
1984,39.4,37.7,36,4.5
1985,38.7,38,34,4.5
1986,39,36.8,33.1,4.3
1987,40.3,35.3,34.3,4.4
1988,41.5,34.6,35.2,4.5
1989,42.7,32.2,35.7,4.3
1990,45,31.1,36.7,4.3
1991,43.3,31.4,36.5,4.6
1992,43.4,30.4,36.8,4.7
1993,40.7,29,37.2,4.8
1994,44.4,28.2,38.7,4.8
1995,44.3,27.8,38.2,4.9
1996,45.6,27.4,38.7,5.1
1997,46.6,27.3,38.8,5
1998,48.1,26.5,39.2,4.8
1999,46.6,24.9,38.7,5.1
2000,45.5,24.7,39.3,5.2
2001,47.1,24.6,40.3,5.1
2002,45.5,24.3,38.8,5.1
2003,44.2,23.9,39.3,4.7
2004,45.7,23.1,38.1,4.9
2005,46.4,21.9,37.1,4.7
2006,47.6,21.5,38,4.7
2007,47,21.5,39.6,4.8
2008,47.7,21.2,41.4,4.8
2009,43.2,22.6,42.3,5.1
2010,44.1,23.2,43.6,5.6
2011,44.4,23.9,46.8,5.9
2012,41.4,27.6,49.2,6.5
2013,40,31.6,49.7,7.1
2014,40.6,37.1,53.4,8.2
2015,35.9,39.4,56.1,9.1
2016,29.3,37,55.2,9.5
2017,31.3,39.1,56.5,10.2
2018,30.7,45.7,63.1,11.7
