Year,TotalFossil,Nuclear,TotalRenewable
1960,39.9,0,2.9
1961,40.3,0,3
1962,41.7,0,3.1
1963,44,0,3.1
1964,45.8,0,3.2
1965,47.2,0,3.4
1966,50,0.1,3.4
1967,52.6,0.1,3.7
1968,54.3,0.1,3.8
1969,56.3,0.2,4.1
1970,59.2,0.2,4.1
1971,58,0.4,4.3
1972,58.9,0.6,4.4
1973,116.5,1.8,8.8
1974,112.7,2.5,9.5
1975,109.5,3.8,9.4
1976,109.4,4.2,9.5
1977,110.2,5.4,8.4
1978,110.1,6,10
1979,116,5.6,10.2
1980,118,5.5,10.9
1981,117.1,6,10.8
1982,114.9,6.3,12
1983,108.8,6.4,13
1984,117.7,7.1,12.9
1985,115.1,8.2,12.2
1986,113.2,8.8,12.2
1987,114.3,9.5,11.2
1988,115.7,11.2,10.9
1989,115,11.2,12.5
1990,117.1,12.2,12.1
1991,115.7,12.8,12.1
1992,115.3,13,11.6
1993,111.6,12.8,12.2
1994,116.1,13.4,12
1995,115.1,14.2,13.1
1996,116.8,14.2,14
1997,117.7,13.2,14
1998,118.6,14.1,13
1999,115.2,15.2,13
2000,114.7,15.7,12.2
2001,117.1,16.1,10.3
2002,113.7,16.3,11.5
2003,112.1,15.9,11.9
2004,111.9,16.4,12.1
2005,110.1,16.3,12.4
2006,111.9,16.4,13.2
2007,112.9,16.9,13
2008,115.2,16.9,14.4
2009,113.3,16.7,15.2
2010,116.4,16.9,16.6
2011,121.1,16.5,18.6
2012,124.7,16.1,17.8
2013,128.4,16.5,18.8
2014,139.3,16.7,19.5
2015,140.5,16.7,19.5
2016,131,16.9,20.9
2017,137.1,16.8,22.6
2018,151.1,16.9,23.4
